cost,emission,discomfort,dummy,electrolyzer elecGrid,heatpump elecGrid,rooftop pv elecGrid,heatpump_ac elecGrid,heatpump_ac heatGrid,heatpump heatGrid,fuel cell heatGrid,fuel cell storageGrid,electrolyzer storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],elec import elecGrid,elec import fuelGrid,clo_lvl
0.005372,3.249602832,93333.33,0.0,,-13.441605830528,11.6402608833196,-0.401182412049112,-0.802364824098224,19.7600803838975,,,,0.0095657160842806,0.0829331730599745,,,,0.0087766531858904,0.0039248713081242,0.001642405663471,7.96471282244353,-7.96471282244353,light clothing
0.005461,3.249602832,86666.67,0.0,,-13.6193811766927,11.8630864960904,-0.452799360708805,-0.90559872141761,19.8247739839669,,,,0.0095498995200633,0.0842332118009123,,,,0.009307331488943,0.0043842699313211,0.0016890296032611,7.964712822419,-7.964712822419,light clothing
0.004886,3.538620271,133333.33,0.0,,-12.6303202298282,9.72800304144619,-0.0445870218365701,-0.0891740436731403,19.7466701625065,,,,0.0084195619471879,0.0565631857691956,,,,0.0062570048730999,0.0003777167529101,0.001250352412208,8.6730888997924,-8.6730888997924,light clothing
0.009124,2.081131969,55600.0,0.0,,-14.9178035998927,17.1827217380436,-1.16294872449366,-2.32589744898732,19.9311192109278,,,,0.0138666713365505,0.141604821128311,,,,0.0110646052922414,0.0085262335906202,0.0051913249407123,5.1008136489407,-5.1008136489407,light clothing
0.00595,3.541269499,47800.0,0.0,,-14.7297639707213,12.3899368081649,-0.51930608333553,-1.03861216667106,20.101718722746,,,,0.0095118802239304,0.102367444635692,,,,0.011318143971728,0.0057680200194228,0.001801102576216,8.67958210427836,-8.67958210427836,light clothing
0.007593,2.073501147,146666.67,0.0,,-13.2549846027826,14.4631379560408,-0.0534685886330085,-0.106937177266017,18.4329925485384,,,,0.0140300623174232,0.12330942603235,,,,0.008881401070801,0.0003774751212689,0.0040664530467127,5.08211065520129,-5.08211065520129,light clothing
0.012391,1.287602832,133333.33,0.0,,-13.5586760802652,16.4283341754594,,,15.7816130654798,,,,0.0134067906970884,0.1372385715450799,,,,0.0135616181569719,,0.0083573920220344,3.15588929301017,-3.15588929301017,light clothing
,0.0,43580.0,0.0,,,,,,,,,,,,,,,,,,,,light clothing
0.015773,1.007602832,58720.0,0.0,,-15.4510259747393,21.9927113578815,-2.03474282005617,-4.06948564011234,16.3969233383781,,,,0.0210698115433966,0.1307575711577729,,,,0.0190255500162974,0.0085258659476996,0.010804423962827,2.46961478337653,-2.46961478337653,light clothing
0.011864,1.396998562,74320.0,0.0,,-14.6019155260964,18.4234589284172,-1.32497901868161,-2.64995803736322,17.5387947254591,,,,0.0134773818159436,0.1493524268823109,,,,0.0120298676390755,0.0085252804407658,0.0078714045755905,3.42401608283557,-3.42401608283557,light clothing
0.010547,1.790424515,58720.0,0.0,,-15.0096621736012,17.8667255049916,-1.22240786946025,-2.4448157389205,20.2169824308692,,,,0.0136611797344147,0.149878215821651,,,,0.0101802119465758,0.0085260299605856,0.006606040284614,4.38829537909673,-4.38829537909673,light clothing
0.01519,0.951602832,71200.0,0.0,,-14.9238945123589,21.1354452161025,-1.73175910891004,-3.46351821782008,15.9587620086394,,,,0.0201078891864643,0.1317075349749659,,,,0.0179335829095781,0.0085253436659446,0.0104358293817923,2.33235988124256,-2.33235988124256,light clothing
0.013664,1.399602832,52480.0,0.0,,-15.2820585831325,19.6366455084117,-1.46740339921577,-2.93480679843155,16.1311024812547,,,,0.0132974516022829,0.143452205252742,,,,0.0177540845581604,0.0085264257121034,0.0091101414945279,3.43039909692866,-3.43039909692866,light clothing
0.01222,1.497316033,60280.0,0.0,,-14.9185452147863,18.4434880130196,-1.28791294787055,-2.5758258957411,18.1390439611698,,,,0.013447674329627,0.1352760939605929,,,,0.0128853945497357,0.0085257979166024,0.0080759269808084,3.66989223707083,-3.66989223707083,light clothing
0.012478,1.498879851,57160.0,0.0,,-15.0318091202987,18.8571463628039,-1.30153048007168,-2.60306096014337,18.1690975932083,,,,0.0134211834367696,0.141747213576476,,,,0.0134883110822882,0.0085262023268294,0.0082583046167283,3.67372512571939,-3.67372512571939,light clothing
