cost,emission,discomfort,dummy,elec import elecGrid,rooftop pv elecGrid,elec import fuelGrid,heatpump heatGrid,heatpump_ac heatGrid,electrolyzer storageGrid,fuel cell storageGrid,battery storage invest[MW(h)],buffer tank invest[MW(h)],electrolyzer invest[MW(h)],fuel cell invest[MW(h)],h2 storage invest[MW(h)],heatpump invest[MW(h)],heatpump_ac invest[MW(h)],rooftop pv invest[MW(h)],gas boiler fuelGrid,gas boiler heatGrid,gas boiler invest[MW(h)],clo_lvl
0.005154,3.056418945,13.67,0.0,5.55911547092924,12.179508856849,-5.55911547098071,-38.2394621709273,-0.751655980113598,,,0.0095233269533569,0.0738575454483978,,,,0.0098061369146684,0.0032400013189094,0.0176736,-4.336082686621,-3.9024744179588833,0.0035026259175548,light_clothing
0.004844,5.597044605,5.0,0.0,2.91042124257922,10.4435500637296,-2.91042124257922,-25.8172634410186,-0.9081800258877,,,0.0091519304473625,0.0768773323674619,,,,0.0060461720039805,0.0076533219415607,0.0123005742403891,-24.255185576501,-21.829667018850923,0.0112150110959772,light_clothing
0.005455,3.396623921,8.92,0.0,6.46417296800981,12.4337256761147,-6.46417296800974,-41.378734532192695,-0.977640859134218,,,0.0095233269533569,0.0742159733658474,,,,0.0103619088806379,0.0043846687403638,0.0176736,-4.17624505162246,-3.758620546460182,0.0032771289482235,light_clothing
0.004599,4.241933255,11.72,0.0,3.57340171170594,10.6432692708123,-3.57340171170594,-29.0544663290776,-0.696512233996407,,,0.0088972681124159,0.0556330915198825,,,,0.0063643619733478,0.0032399341135696,0.0138091420155971,-15.31345080696,-13.78210572621967,0.0084373778498725,light_clothing
0.004644,5.056914325,8.08,0.0,3.01232687068334,10.2841816758434,-3.01232687068334,-26.083870397735,-0.577242685647902,,,0.009051636618345,0.0755394622349612,,,,0.0059939948278753,0.003239630661882,0.0123881046107395,-21.0554728376757,-18.94992555389911,0.010477644839804,light_clothing
0.004399,5.0544774,11.16,0.0,1.77538643730972,10.1962462200057,-1.77538643730972,-21.48668004200598,-0.535236675263556,,,0.0090611899996421,0.0713922885323858,,,,0.0058282430667351,0.0028490327106341,0.0123002332286415,-23.8180403412104,-21.43623630709726,0.0095556928188869,light_clothing
0.004448,5.86961914,8.64,0.0,1.20943345497837,9.65229474381853,-1.20943345497479,-17.86844292817046,-0.19379254786166,,,0.0091881637268054,0.0730401523656165,,,,0.0057144594175852,0.0012175796738954,0.0111638996329012,-29.5718937861859,-26.61470440755563,0.0103665229485767,light_clothing
0.005769,3.736552885,5.56,0.0,7.36289884542302,12.5025441294732,-7.36289884542294,-44.392774830136,-1.29448833500522,,,0.0095233269533569,0.0834426710654122,,,,0.0109248445501932,0.0057679255834151,0.0176736,-4.02909876957223,-3.626188892612896,0.0033552764643471,light_clothing
0.005758,3.059602832,9.2,0.0,7.49902654790903,13.1446662594729,-7.49902654790902,-45.7584982690331,-1.42537953909975,,,0.0095233269533569,0.122700371197991,,,,0.0145643738966097,0.0063694829893392,0.0176736,,,,light_clothing
0.004193,4.787767454,15.33,0.0,1.75751769218063,9.5411563656471,-1.75751769218063,-20.18776835478585,-0.18235257966408,,,0.0090968839010798,0.0642275272455915,,,,0.0052974747522891,0.0010355284071359,0.0117413971971401,-22.3910904038455,-20.15198136341906,0.0095320836147711,light_clothing
0.00453,5.328403565,8.64,0.0,1.8806639165461,10.2133897344765,-1.8806639165461,-21.95142020311789,-0.528459990289257,,,0.0090604929528909,0.0740076930582144,,,,0.0059286797250937,0.0029266363460211,0.0123066446194901,-25.0885186329095,-22.57966676961098,0.0103217409837709,light_clothing
0.004529,3.902854189,17.83,0.0,3.86770203449519,9.92775029810213,-3.86770203449519,-27.3212707324592,,,,0.0096577792794844,0.051315236405361,,,,0.0066211488983896,,0.0137102252291677,-12.7878534598544,-11.50906811384175,0.0074242491433644,light_clothing
0.004381,6.949502847,8.92,0.0,1.28065407202767,7.74170884022443,-1.28065407202767,-12.16554677364906,-0.0579950996316232,,,0.0095224836540058,0.042742740465995,,,,0.0043268475383984,0.0004482138058722,0.0082568086774405,-35.3520131216814,-31.81681180951331,0.0102347416348029,light_clothing
0.004124,4.787767454,17.83,0.0,2.88415085569828,8.71094584842379,-2.88415085569828,-20.577710336355658,,,,0.0085334561014604,0.0394103172648436,,,,0.0044846989042888,,0.0103970010651256,-19.8626727434659,-17.876405469082037,0.0095873814096133,light_clothing
0.00454,6.143578891,6.96,0.0,1.14861542720535,9.60351029759191,-1.14861542720542,-17.59352208024258,-0.348913639569854,,,0.0097523216946065,0.0753890737093501,,,,0.0057762575622668,0.0023489533307927,0.0109233115798406,-31.2153124128421,-28.093781171547548,0.0105957636412044,light_clothing
0.005229,2.887754377,14.5,0.0,6.12319828657354,12.2393384854939,-6.12319828667198,-40.1466461568037,-0.642267318100421,,,0.0095233269533569,0.0800562171447382,,,,0.0108440639058547,0.0023269637607593,0.0176736,-2.14240635925186,-1.928165723323441,0.0020335032703181,light_clothing
0.005502,3.735920339,6.96,0.0,6.49866901733079,12.1429282769465,-6.49866901733079,-41.1981643548677,-0.987906582196456,,,0.0095433681001117,0.0762562605468911,,,,0.0100467457495378,0.0045700293924397,0.0170828287005072,-5.96514510481436,-5.3686305943455706,0.0040511467774393,light_clothing
0.005113,3.225874195,12.83,0.0,5.48114210995854,12.1097690727631,-5.48114210995854,-37.7783738558,-0.870026781094827,,,0.0095393953934472,0.0683067113639475,,,,0.0091562125015367,0.0039266865066451,0.0171999358255326,-5.4431694937881,-4.898852544411264,0.0041019105546314,light_clothing
0.005874,3.399602832,6.4,0.0,8.33235988124225,12.7527315880235,-8.33235988124235,-47.6100290750472,-1.3484019430628,,,0.0095233269533569,0.10592793052542,,,,0.0124616455354623,0.0057676575016354,0.0176736,,,,light_clothing
0.005648,3.905786822,5.56,0.0,6.88067660465853,12.1753903212708,-6.88067660465853,-42.3464108655308,-1.15759718618493,,,0.0095407779145706,0.0772350778305601,,,,0.0101510018048395,0.0057679500344354,0.017159181979924,-6.04219344004809,-5.437974096043269,0.0041980301931114,light_clothing
